[29-Nov-2023 12:03:12 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\savefeedback.php on line 27
[29-Nov-2023 12:03:12 Europe/Berlin] PHP Deprecated:  strlen(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\savefeedback.php on line 33
[13-Feb-2024 09:51:27 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\savefeedback.php on line 27
[13-Feb-2024 09:51:27 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\savefeedback.php on line 27
[13-Feb-2024 09:51:27 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\savefeedback.php on line 27
[13-Feb-2024 09:51:27 Europe/Berlin] PHP Deprecated:  strlen(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\savefeedback.php on line 33
[06-Mar-2024 10:06:19 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\savefeedback.php on line 27
[06-Mar-2024 10:06:19 Europe/Berlin] PHP Deprecated:  strlen(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\savefeedback.php on line 33
[05-Apr-2024 05:06:13 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[05-Apr-2024 05:06:13 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[05-Apr-2024 05:06:13 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[07-May-2024 09:01:46 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\savefeedback.php on line 27
[07-May-2024 09:01:46 Europe/Berlin] PHP Deprecated:  strlen(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\savefeedback.php on line 33
[29-Jul-2024 03:16:09 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[29-Jul-2024 03:16:09 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[29-Jul-2024 03:16:09 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[02-Aug-2024 02:09:10 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[02-Aug-2024 02:09:10 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[02-Aug-2024 02:09:10 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[02-Aug-2024 02:10:12 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[02-Aug-2024 02:10:12 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[02-Aug-2024 02:10:12 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[20-Aug-2024 02:02:12 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[20-Aug-2024 02:02:12 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[20-Aug-2024 02:02:12 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[20-Aug-2024 09:46:07 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[20-Aug-2024 09:46:07 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[20-Aug-2024 09:46:07 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[21-Aug-2024 01:59:50 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[21-Aug-2024 01:59:50 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[21-Aug-2024 01:59:50 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[26-Aug-2024 03:22:47 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[26-Aug-2024 03:22:47 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[26-Aug-2024 03:22:47 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[26-Aug-2024 03:23:02 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[26-Aug-2024 03:23:02 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[26-Aug-2024 03:23:02 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[27-Aug-2024 04:16:46 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[27-Aug-2024 04:16:46 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[27-Aug-2024 04:16:46 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[28-Aug-2024 02:12:21 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[28-Aug-2024 02:12:21 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[28-Aug-2024 02:12:21 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[28-Aug-2024 05:55:39 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[28-Aug-2024 05:55:39 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[28-Aug-2024 05:55:39 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[28-Aug-2024 09:34:30 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[28-Aug-2024 09:34:30 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[28-Aug-2024 09:34:30 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[28-Aug-2024 10:21:33 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[28-Aug-2024 10:21:33 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
